gameId|platformId|gameCreation|gameDuration|queueId|mapId|seasonId|gameVersion|gameMode|gameType
3524898867|NA1|1596800658140|1497|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524894506|NA1|1596795161948|1310|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524894258|NA1|1596794866916|885|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524892682|NA1|1596793222802|2317|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524891084|NA1|1596791741335|1024|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524889219|NA1|1596800786845|1305|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524887862|NA1|1596798969420|1306|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524881481|NA1|1596791922260|1552|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524880053|NA1|1596790724897|1538|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524873714|NA1|1596794193727|1716|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524873437|NA1|1596793849979|193|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524868687|NA1|1596800090329|1186|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524867480|NA1|1596798544025|1419|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524864806|NA1|1596795306117|2287|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524863400|NA1|1596793771019|1165|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524855749|NA1|1596796286098|2023|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524852605|NA1|1596792935948|1820|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524851043|NA1|1596791432356|1219|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524850268|NA1|1596790754175|1477|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524848694|NA1|1596790000135|1306|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524848490|NA1|1596789857632|1577|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524842301|NA1|1596785964014|2077|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524839657|NA1|1596790872295|1716|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524837459|NA1|1596789181353|772|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524835106|NA1|1596787576165|2041|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524833915|NA1|1596786812235|1650|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524824968|NA1|1596787290374|2305|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524823850|NA1|1596786612562|2339|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524823472|NA1|1596786414436|1353|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524823424|NA1|1596786365903|1926|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524823206|NA1|1596786261408|1219|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524821275|NA1|1596785261923|1647|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524821081|NA1|1596785132011|1717|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524820274|NA1|1596784702608|1421|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524818444|NA1|1596789536333|1476|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524818296|NA1|1596789360329|1521|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524816938|NA1|1596788411890|1719|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524815444|NA1|1596787552824|1144|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524810501|NA1|1596784844390|1808|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524805285|NA1|1596787360303|1611|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524801762|NA1|1596785408356|936|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524800543|NA1|1596784832333|1957|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524799235|NA1|1596790102743|1254|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524798970|NA1|1596789931579|1665|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524797550|NA1|1596788790166|1950|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524796072|NA1|1596787889087|1576|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524792615|NA1|1596785844632|952|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524791450|NA1|1596785306981|1112|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524790881|NA1|1596784981423|1663|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524786541|NA1|1596788050981|1892|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524785109|NA1|1596787133606|1120|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
