puuid|accountId|summonerId|region|tier|summonerName|leaguePoints|rank|wins|losses|veteran|inactive|freshBlood|hotStreak|profileIconId|revisionDate|summonerLevel
YaxsNgPkROWQEUtHOTg-erYhhVRFbbiYRg3JjgmqDAtd5YZiXSNpRBNpkUIzumSEwlfUuuNURfd11w|aHVZ2Kp2TJCBAkCJim5GaI3gFodSVRcf3tVfOumRLTdAuT0|x5e2XBMAEV3BC3nQJnET9OIWp9gd9z6ii2pio3kbktWSBiA|kr|master|조졌누|0|I|193|158|False|False|True|True|4568|1596009818000|222
lZmzzQPbe9IW0_wt-oA5CI_9mCnR2H15DnLb5zbaZ1hG68UDzOwibHbAV7P3FGcFqyaG4LXDzNPd2g|D_YrP9ylgwOk0A3aVaFlxDqJoiYO231Jnhg25SuOqqgNvhaj3Q8RMd2d|WT6tP7GUFI-CAnHlMxFOmbWXdchjU-NHPL1FWi6ICPLWakc|kr|master|Pathetic Rebirth|92|I|695|659|False|False|False|False|3788|1595987381000|113
-TKIReQH-jMoccPoHo9bjTk_i7zhETk5_9iMmTRrrxJR1p0hD4eGN-Q4HiJAF73r7Hjxfq-TX9rttQ|07t6bXcilSlXJjz2QyQqHqIRtKUWyR9WK5AdDBi2X-J6xE8|bLFKVxC5nTZ8fKJE7q6qvf5sEaRes-1-mNC-cmZAY9qU2pI|kr|master|훈수두지마제발|159|I|137|120|False|False|False|False|3795|1595917526000|189
qFTpy9efCuJgtN-Ba3IyhmskOhos98jbjgcEBafqKrAuD3LYCtJpmZpdLYP7DbZau8HE1R0GNyc1jg|03rYGg9Wknq2o6Ybkex5WpfhMNEj_D6r91vkvFq6vKKN|h6hC1YpnViTYG3jtlxBq3ZFR75Abx-ce1fJV_0Ko9zZvSg|kr|master|반원초|48|I|139|111|False|False|True|False|7|1596012906000|71
Q4DzB_YRYpo5Wz_FdqFS3Nm2vDEbqiUxUf_aLUsF4y2d3qaCdah_P0vQ0_ypcGxrp19dd9nlZmvSbA|AdRzgVOdfpiHlFQmNIFyVrkSU8D55C9SW9ByPxll50wp3-k|c7mvsQ9flV59zvrcvvjwhVIaBnBiku4wvpWX0WDWpKFTQ3Q|kr|master|미라클 아칼리|0|I|318|314|False|False|True|False|4426|1595884832000|637
Q-B0D7Hbuyi0tkLwaOexk4RCI3--BY34ZB_rRRpwhQ6I07NIc22-v_z6Y0alIFKr1Kh7stv0_EZeVg|b4hHAwO9R0pLbbXWF1CgSbxPn1I5JrXeylG1ozDZCy8l8ENiiEqD4Sz0|_nI3j0pJyRT51Z6ZCL7FpbfB7aUug-zHkH8UeXO-UAjYHmQ|kr|master|사격시간|189|I|303|282|False|False|False|True|13|1596005665000|99
2prh2CohCQ8iqprF48TFqPVcowrF1rfh--fbANlAb8FYL9emoQ_phWsqj31TI4BlGmqRrucb_HH6Hg|vRknhGLvp2pEVFFyezKjDpPkDaL4TSzTG46SrMQXWfvT-9Y|J7qh8V-imrvnl09A9V-goq9ci6gH35vSvj4lDIlJlpyb1Zw|kr|master|유혹하는 서포터|155|I|1294|1253|False|False|False|False|4655|1596094701000|531
LAfz-E2UoxXzww1Lkr8Csg5GOkCbtv2fNwPKXozIrxCPlsclirKRu-cejA_Rlom0NyWrWokbiDlX8A|uhucUbbav08l5wR0_efszxwBob9uAhP8-tBgWjieRXln|zcDbMjpj8vpKl6OFvJbB2HL6y7sAEDS3pm0UA1K_lz24YA|kr|master|Raina|73|I|165|137|False|False|True|True|4637|1595943412000|293
nbYSLO_aGoJaEwSJSay2Z8nFOtwXKxqrFIJ1G5ouAPZ_wAE0USLhMLCNAu9EJz94RhQ8-08A3Xe5uw|tMTCvEN98oz3LE_A-av7X-jknIs8Tt7ARe3OkwheC4n6|XRCDUAyi7h1aOZdsYqujPfyPaR3P8Tqn-aHBuui8C_h9iw|kr|master|라인꼬이면닷지점|1|I|242|206|False|False|False|False|25|1595810114000|184
Xn64yqiFHlK4hE9tUWCyYe3noJOTyWzai64VbRLehbK3zXjxeAohoPlE6Vtj0J0CQi-B9aooG0DOjQ|Gf5SS4iE_-vgFDEFyrzw9is4zzJWowpGgPf2Pkj8-ziKMNcNniumQLis|Jdjp56Bvkhn9986IPp9oXaDk43dJpHmz5MRqKhFYjUBLnc8|kr|master|천 번 찔린 승재|0|I|149|66|False|False|True|False|4544|1596092783000|69
